Korean,English
울음소리,crying sound
이놈,this guy
이력서,resume
인정되다,Recognize
잠자다,sleep
젓가락,chopsticks
주년,Anniversary
중단하다,Interrupt
중대하다,Grave
중심지,center
집중적,Intensive
참되다,Twist
초청,invitation
출판사,publisher
탁자,table
토끼,rabbit
퍽,puck
풍속,Wind speed
피아노,piano
핑계,excuse
한층,even
행운,luck
가로막다,Cross
간섭,Interference
갈증,thirst
갑작스럽다,Suddenly
교환하다,exchange
그래야,So that
기원,origin
길가,roadside
난리,Frenzy
남매,siblings
내버리다,Disappear
달리하다,Run
뛰어가다,Jump
미사일,missile
발가락,toes
보존,preservation
보호되다,Protect
뵙다,meet
부치다,send
상관,relation
설명되다,Explain
섭섭하다,feel dissapointed
세,count
세련되다,Stylish
손쉽다,Snip
안주,snack
어린애,child
열기,Heat
옷차림,getup
위로하다,console
이같이,Same
인형,doll
일치,Same
재생,play
전철,subway
찢어지다,Tear
철학자,philosopher
축하하다,Celebrate
컬러,color
통화,call
특이하다,Unusual
필연적,Inevitable
하룻밤,Overnight
흘러내리다,Fulfill
가짜,fake
강도,burglar
곰,bear
급히,in haste
기념,Commemoration
나아지다,Get better
넘어오다,Override
되돌리다,get back
띄우다,ferment
매너,manner
민속,Folk
버려지다,Discard
빗물,rainwater
사위,son-in-law
설날,new Year
설득하다,Persuade
손질,trim
손톱,Fingernail
식빵,bread
아르바이트,Part time job
외로움,loneliness
외우다,memorize
운전자,operator
유리창,sash
입대,Enrollment
적성,aptitude
전망하다,Prospect
집단적,Collective
차이점,difference
찬물,Cold water
철도,railroad
총각,bachelor
캠페인,campaign
태풍,Typhoon
한눈,Glance
햇볕,Sunshine
홍수,flood
가뭄,drought
간접,Indirect
강력히,Strongly
개선되다,Improve
건네다,carry across
게,crab
결심,Determination
곧장,right away
교직,union
구속하다,Constraint
귀중하다,Precious
긁다,scratch
금지하다,to prohibit
기사,Article
기숙사,dormitory
나뭇잎,leaf
내쉬다,exhale
넓어지다,Widen
늘어지다,Stretch
단독,Exclusive
마당,yard
마음껏,Favorite
몰려들다,Flock
미팅,Meeting
바,bar
바퀴,wheel
발자국,footprint
뱉다,disgorge
벌어지다,Turn up
보너스,bonus
산책,walk
생기,vitality
서적,books
소화,digestion
수험생,Examine
시끄럽다,noisy
신세대,New generation
안기다,Fetch
어기다,violate
어때,how
엘리베이터,elevator
연구원,researcher
연애,romantic relationship
연휴,Holidays
요약하다,summarize
운동하다,exercise
월요일,Monday
위성,satellite
의외로,Unexpected
이모,aunt
자살,Suicide
제시,proposal
제외되다,Exclude
조카,nephew
주소,address
찍히다,Take out
철,steel
취직,Job
타락,Corruption
통화,call
틀림없이,Surely
파티,party
회관,hall
계획하다,Plan
공연장,concert hall
국적,nationality
근래,Recruitment
나뉘다,Divide
낱말,word
내외,Inner foreign
냄비,pot
늑대,A wolf
늘어서다,Lean
다정하다,considerate
달다,Sweet
달려들다,Rush
망원경,telescope
모범,Example
무리하다,overwork
묶이다,knot
방해하다,interrupt
뱀,snake
벌,punishment
뵈다,See
상류,Upstream
석,three
선명하다,Sharpen
선호하다,prefer
성공적,successful
소규모,Small scale
수시로,frequently
시야,eyesight
실현되다,Realize
아니야,no
어느덧,Either
오르내리다,Climb
왕자,Prince
우수하다,great
유명,famous
유형,type
으레,Wright
일상적,Daily
일일이,Daily
전공하다,Specialize
전후,order
정상,normal
정상적,normal
질적,Qualitative
척,chuck
철,steel
청소하다,Sweep
충격적,Shock
치아,teeth
판,board
편의,Convenience
폐지,abolition
해설,Commentary
헌,Man
흑백,Gray-scale
희생,sacrifice
가까워지다,closer
감사하다,Thank
강도,burglar
경비,security
경제력,economic power
금하다,Be afraid
기대되다,Expect
깊숙이,Depth
꿀,honey
넘어뜨리다,Fall down
농사짓다,Farmize
단단하다,hard
담당자,manager
답변,answer
대비,prepare
대체,how
더욱더,More
도심,downtown
된장,Miso
둘러싸이다,Surround
등산,Mountain climbing
마찰,friction
마크,Mark
만족,satisfied
망치다,ruin
